Date,Day of the Week,Location,Time Group,Vehicle Count,Weather Conditions,Road Type,Congestion Level
2024-01-08,Monday,Gabtoli,Afternoon (2:00 PM – 4:30 PM),361,Sunny,Entry Point,Low
2024-01-08,Monday,Gabtoli,Evening Rush (4:30 PM – 8:00 PM),436,Sunny,Commercial Street,High
2024-01-08,Monday,Gabtoli,Night (8:00 PM – 11:00 PM),440,Rainy,Residential Street,High
2024-01-08,Monday,Gabtoli,Late Night (11:00 PM – 5:00 AM),300,Sunny,Commercial Street,High
2024-01-08,Monday,Rampura,Early Morning (5:00 AM – 7:30 AM),367,Rainy,Entry Point,Medium
2024-01-08,Monday,Rampura,Morning Rush (7:30 AM – 10:30 AM),454,Cloudy,Commercial Street,Medium
2024-01-08,Monday,Rampura,Midday (10:30 AM – 2:00 PM),185,Rainy,Arterial Road,Low
2024-01-08,Monday,Rampura,Afternoon (2:00 PM – 4:30 PM),101,Rainy,Residential Street,Medium
2024-01-08,Monday,Rampura,Evening Rush (4:30 PM – 8:00 PM),143,Sunny,Entry Point,Medium
2024-01-08,Monday,Rampura,Night (8:00 PM – 11:00 PM),210,Cloudy,Residential Street,Low
2024-01-08,Monday,Rampura,Late Night (11:00 PM – 5:00 AM),494,Cloudy,Entry Point,Medium
2024-01-08,Monday,Tejgaon,Early Morning (5:00 AM – 7:30 AM),236,Cloudy,Arterial Road,Low
2024-01-08,Monday,Tejgaon,Morning Rush (7:30 AM – 10:30 AM),205,Rainy,Entry Point,Low
2024-01-08,Monday,Tejgaon,Midday (10:30 AM – 2:00 PM),119,Cloudy,Arterial Road,Medium
2024-01-08,Monday,Tejgaon,Afternoon (2:00 PM – 4:30 PM),189,Rainy,Arterial Road,Medium
2024-01-08,Monday,Tejgaon,Evening Rush (4:30 PM – 8:00 PM),441,Cloudy,Highway,Low
2024-01-08,Monday,Tejgaon,Night (8:00 PM – 11:00 PM),435,Rainy,Arterial Road,Low
2024-01-08,Monday,Tejgaon,Late Night (11:00 PM – 5:00 AM),491,Rainy,Residential Street,Low
2024-01-08,Monday,New Market,Early Morning (5:00 AM – 7:30 AM),388,Sunny,Residential Street,Low
2024-01-08,Monday,New Market,Morning Rush (7:30 AM – 10:30 AM),373,Cloudy,Arterial Road,Low
2024-01-08,Monday,New Market,Midday (10:30 AM – 2:00 PM),174,Rainy,Entry Point,Medium
2024-01-08,Monday,New Market,Afternoon (2:00 PM – 4:30 PM),299,Rainy,Highway,High
2024-01-08,Monday,New Market,Evening Rush (4:30 PM – 8:00 PM),118,Rainy,Arterial Road,Medium
2024-01-08,Monday,New Market,Night (8:00 PM – 11:00 PM),312,Sunny,Highway,Low
2024-01-08,Monday,New Market,Late Night (11:00 PM – 5:00 AM),461,Rainy,Highway,High
2024-01-08,Monday,Dhanmondi,Early Morning (5:00 AM – 7:30 AM),404,Rainy,Residential Street,Low
2024-01-08,Monday,Dhanmondi,Morning Rush (7:30 AM – 10:30 AM),452,Cloudy,Arterial Road,Medium
2024-01-08,Monday,Dhanmondi,Midday (10:30 AM – 2:00 PM),421,Rainy,Residential Street,High
2024-01-08,Monday,Dhanmondi,Afternoon (2:00 PM – 4:30 PM),272,Sunny,Commercial Street,Medium
2024-01-08,Monday,Dhanmondi,Evening Rush (4:30 PM – 8:00 PM),368,Sunny,Residential Street,Low
2024-01-08,Monday,Dhanmondi,Night (8:00 PM – 11:00 PM),351,Cloudy,Entry Point,Medium
2024-01-08,Monday,Dhanmondi,Late Night (11:00 PM – 5:00 AM),356,Sunny,Highway,High
2024-01-08,Monday,Paltan,Early Morning (5:00 AM – 7:30 AM),168,Sunny,Commercial Street,High
2024-01-08,Monday,Paltan,Morning Rush (7:30 AM – 10:30 AM),463,Cloudy,Entry Point,High
2024-01-08,Monday,Paltan,Midday (10:30 AM – 2:00 PM),224,Rainy,Entry Point,Low
2024-01-08,Monday,Paltan,Afternoon (2:00 PM – 4:30 PM),214,Sunny,Residential Street,High
2024-01-08,Monday,Paltan,Evening Rush (4:30 PM – 8:00 PM),285,Sunny,Entry Point,High
2024-01-08,Monday,Paltan,Night (8:00 PM – 11:00 PM),378,Cloudy,Residential Street,High
2024-01-08,Monday,Paltan,Late Night (11:00 PM – 5:00 AM),179,Sunny,Residential Street,Medium
2024-01-08,Monday,Malibagh,Early Morning (5:00 AM – 7:30 AM),272,Rainy,Flyover,Medium
2024-01-08,Monday,Malibagh,Morning Rush (7:30 AM – 10:30 AM),225,Rainy,Commercial Street,High
2024-01-08,Monday,Malibagh,Midday (10:30 AM – 2:00 PM),119,Rainy,Residential Street,High
2024-01-08,Monday,Malibagh,Afternoon (2:00 PM – 4:30 PM),140,Sunny,Flyover,Medium
2024-01-08,Monday,Malibagh,Evening Rush (4:30 PM – 8:00 PM),285,Cloudy,Flyover,Medium
2024-01-08,Monday,Malibagh,Night (8:00 PM – 11:00 PM),260,Cloudy,Flyover,Medium
2024-01-08,Monday,Malibagh,Late Night (11:00 PM – 5:00 AM),326,Sunny,Flyover,Low
2024-01-08,Monday,Keraniganj,Early Morning (5:00 AM – 7:30 AM),152,Cloudy,Entry Point,Medium
2024-01-08,Monday,Keraniganj,Morning Rush (7:30 AM – 10:30 AM),175,Sunny,Residential Street,High
2024-01-08,Monday,Keraniganj,Midday (10:30 AM – 2:00 PM),168,Cloudy,Commercial Street,Low
2024-01-08,Monday,Keraniganj,Afternoon (2:00 PM – 4:30 PM),387,Sunny,Residential Street,Medium
2024-01-08,Monday,Keraniganj,Evening Rush (4:30 PM – 8:00 PM),362,Sunny,Residential Street,Medium
2024-01-08,Monday,Keraniganj,Night (8:00 PM – 11:00 PM),424,Rainy,Flyover,Low
2024-01-08,Monday,Keraniganj,Late Night (11:00 PM – 5:00 AM),436,Sunny,Commercial Street,Medium
2024-01-08,Monday,Tongi,Early Morning (5:00 AM – 7:30 AM),422,Sunny,Highway,Medium
2024-01-08,Monday,Tongi,Morning Rush (7:30 AM – 10:30 AM),175,Rainy,Highway,High
2024-01-08,Monday,Tongi,Midday (10:30 AM – 2:00 PM),318,Cloudy,Residential Street,Low
2024-01-08,Monday,Tongi,Afternoon (2:00 PM – 4:30 PM),237,Rainy,Flyover,Medium
2024-01-08,Monday,Tongi,Evening Rush (4:30 PM – 8:00 PM),265,Sunny,Highway,Medium
2024-01-08,Monday,Tongi,Night (8:00 PM – 11:00 PM),396,Cloudy,Highway,Medium
2024-01-08,Monday,Tongi,Late Night (11:00 PM – 5:00 AM),393,Sunny,Flyover,Medium
2024-01-08,Monday,Savar Entry Point,Early Morning (5:00 AM – 7:30 AM),279,Sunny,Commercial Street,High
2024-01-08,Monday,Savar Entry Point,Morning Rush (7:30 AM – 10:30 AM),317,Rainy,Highway,High
2024-01-08,Monday,Savar Entry Point,Midday (10:30 AM – 2:00 PM),304,Sunny,Highway,High
2024-01-08,Monday,Savar Entry Point,Afternoon (2:00 PM – 4:30 PM),414,Rainy,Entry Point,High
2024-01-08,Monday,Savar Entry Point,Evening Rush (4:30 PM – 8:00 PM),296,Rainy,Entry Point,Low
2024-01-08,Monday,Savar Entry Point,Night (8:00 PM – 11:00 PM),388,Rainy,Residential Street,Low
2024-01-08,Monday,Savar Entry Point,Late Night (11:00 PM – 5:00 AM),343,Sunny,Commercial Street,Low
2024-01-08,Monday,Ashulia,Early Morning (5:00 AM – 7:30 AM),484,Cloudy,Residential Street,High
2024-01-08,Monday,Ashulia,Morning Rush (7:30 AM – 10:30 AM),394,Rainy,Residential Street,High
2024-01-08,Monday,Ashulia,Midday (10:30 AM – 2:00 PM),396,Rainy,Arterial Road,Medium
2024-01-08,Monday,Ashulia,Afternoon (2:00 PM – 4:30 PM),470,Rainy,Arterial Road,High
2024-01-08,Monday,Ashulia,Evening Rush (4:30 PM – 8:00 PM),202,Cloudy,Flyover,Medium
2024-01-08,Monday,Ashulia,Night (8:00 PM – 11:00 PM),284,Sunny,Arterial Road,Medium
2024-01-08,Monday,Ashulia,Late Night (11:00 PM – 5:00 AM),252,Sunny,Commercial Street,Medium
2024-01-08,Monday,Pragati Sarani,Early Morning (5:00 AM – 7:30 AM),434,Rainy,Flyover,Medium
2024-01-08,Monday,Pragati Sarani,Morning Rush (7:30 AM – 10:30 AM),252,Rainy,Flyover,High
2024-01-08,Monday,Pragati Sarani,Midday (10:30 AM – 2:00 PM),450,Sunny,Entry Point,Medium
2024-01-08,Monday,Pragati Sarani,Afternoon (2:00 PM – 4:30 PM),477,Sunny,Residential Street,Low
2024-01-08,Monday,Pragati Sarani,Evening Rush (4:30 PM – 8:00 PM),444,Rainy,Highway,Medium
2024-01-08,Monday,Pragati Sarani,Night (8:00 PM – 11:00 PM),315,Rainy,Arterial Road,High
2024-01-08,Monday,Pragati Sarani,Late Night (11:00 PM – 5:00 AM),238,Cloudy,Arterial Road,Medium
2024-01-09,Tuesday,Farmgate,Early Morning (5:00 AM – 7:30 AM),339,Rainy,Entry Point,High
2024-01-09,Tuesday,Farmgate,Morning Rush (7:30 AM – 10:30 AM),446,Rainy,Commercial Street,Medium
2024-01-09,Tuesday,Farmgate,Midday (10:30 AM – 2:00 PM),403,Cloudy,Highway,Medium
2024-01-09,Tuesday,Farmgate,Afternoon (2:00 PM – 4:30 PM),456,Cloudy,Arterial Road,Medium
2024-01-09,Tuesday,Farmgate,Evening Rush (4:30 PM – 8:00 PM),220,Cloudy,Arterial Road,Medium
2024-01-09,Tuesday,Farmgate,Night (8:00 PM – 11:00 PM),444,Rainy,Arterial Road,High
2024-01-09,Tuesday,Farmgate,Late Night (11:00 PM – 5:00 AM),221,Rainy,Commercial Street,High
2024-01-09,Tuesday,Mohakhali,Early Morning (5:00 AM – 7:30 AM),459,Rainy,Residential Street,High
2024-01-09,Tuesday,Mohakhali,Morning Rush (7:30 AM – 10:30 AM),203,Rainy,Flyover,High
2024-01-09,Tuesday,Mohakhali,Midday (10:30 AM – 2:00 PM),161,Cloudy,Residential Street,Low
2024-01-09,Tuesday,Mohakhali,Afternoon (2:00 PM – 4:30 PM),114,Rainy,Commercial Street,Medium
2024-01-09,Tuesday,Mohakhali,Evening Rush (4:30 PM – 8:00 PM),216,Cloudy,Arterial Road,High
2024-01-09,Tuesday,Mohakhali,Night (8:00 PM – 11:00 PM),126,Sunny,Entry Point,High
2024-01-09,Tuesday,Mohakhali,Late Night (11:00 PM – 5:00 AM),275,Rainy,Commercial Street,High
2024-01-09,Tuesday,Gulshan-2,Early Morning (5:00 AM – 7:30 AM),383,Rainy,Entry Point,High
2024-01-09,Tuesday,Gulshan-2,Morning Rush (7:30 AM – 10:30 AM),374,Cloudy,Highway,Low
2024-01-09,Tuesday,Gulshan-2,Midday (10:30 AM – 2:00 PM),442,Rainy,Entry Point,High
2024-01-09,Tuesday,Gulshan-2,Afternoon (2:00 PM – 4:30 PM),101,Rainy,Entry Point,High
2024-01-09,Tuesday,Gulshan-2,Evening Rush (4:30 PM – 8:00 PM),405,Sunny,Flyover,Medium
2024-01-09,Tuesday,Gulshan-2,Night (8:00 PM – 11:00 PM),372,Cloudy,Highway,High
2024-01-09,Tuesday,Gulshan-2,Late Night (11:00 PM – 5:00 AM),442,Cloudy,Flyover,High
2024-01-09,Tuesday,Jatrabari,Early Morning (5:00 AM – 7:30 AM),270,Sunny,Residential Street,High
2024-01-09,Tuesday,Jatrabari,Morning Rush (7:30 AM – 10:30 AM),124,Sunny,Residential Street,Medium
2024-01-09,Tuesday,Jatrabari,Midday (10:30 AM – 2:00 PM),388,Rainy,Entry Point,High
2024-01-09,Tuesday,Jatrabari,Afternoon (2:00 PM – 4:30 PM),287,Cloudy,Commercial Street,High
2024-01-09,Tuesday,Jatrabari,Evening Rush (4:30 PM – 8:00 PM),472,Rainy,Flyover,Medium
2024-01-09,Tuesday,Jatrabari,Night (8:00 PM – 11:00 PM),126,Cloudy,Flyover,Low
2024-01-09,Tuesday,Jatrabari,Late Night (11:00 PM – 5:00 AM),321,Rainy,Commercial Street,Medium
2024-01-09,Tuesday,Uttara Sector 7,Early Morning (5:00 AM – 7:30 AM),419,Sunny,Arterial Road,High
2024-01-09,Tuesday,Uttara Sector 7,Morning Rush (7:30 AM – 10:30 AM),166,Sunny,Commercial Street,Low
2024-01-09,Tuesday,Uttara Sector 7,Midday (10:30 AM – 2:00 PM),314,Rainy,Highway,Medium
2024-01-09,Tuesday,Uttara Sector 7,Afternoon (2:00 PM – 4:30 PM),339,Cloudy,Residential Street,Low
2024-01-09,Tuesday,Uttara Sector 7,Evening Rush (4:30 PM – 8:00 PM),146,Rainy,Highway,High
2024-01-09,Tuesday,Uttara Sector 7,Night (8:00 PM – 11:00 PM),186,Cloudy,Flyover,High
2024-01-09,Tuesday,Uttara Sector 7,Late Night (11:00 PM – 5:00 AM),233,Cloudy,Flyover,High
2024-01-09,Tuesday,Motijheel,Early Morning (5:00 AM – 7:30 AM),437,Sunny,Residential Street,Low
2024-01-09,Tuesday,Motijheel,Morning Rush (7:30 AM – 10:30 AM),400,Cloudy,Commercial Street,High
2024-01-09,Tuesday,Motijheel,Midday (10:30 AM – 2:00 PM),497,Sunny,Arterial Road,Medium
2024-01-09,Tuesday,Motijheel,Afternoon (2:00 PM – 4:30 PM),277,Sunny,Residential Street,Medium
2024-01-09,Tuesday,Motijheel,Evening Rush (4:30 PM – 8:00 PM),289,Sunny,Entry Point,Low
2024-01-09,Tuesday,Motijheel,Night (8:00 PM – 11:00 PM),186,Cloudy,Residential Street,Medium
2024-01-09,Tuesday,Motijheel,Late Night (11:00 PM – 5:00 AM),197,Cloudy,Commercial Street,Low
2024-01-09,Tuesday,Shahbagh,Early Morning (5:00 AM – 7:30 AM),115,Sunny,Entry Point,High
2024-01-09,Tuesday,Shahbagh,Morning Rush (7:30 AM – 10:30 AM),182,Sunny,Highway,High
2024-01-09,Tuesday,Shahbagh,Midday (10:30 AM – 2:00 PM),371,Rainy,Residential Street,Low
2024-01-09,Tuesday,Shahbagh,Afternoon (2:00 PM – 4:30 PM),415,Sunny,Highway,Medium
2024-01-09,Tuesday,Shahbagh,Evening Rush (4:30 PM – 8:00 PM),254,Cloudy,Flyover,Low
2024-01-09,Tuesday,Shahbagh,Night (8:00 PM – 11:00 PM),462,Cloudy,Highway,Medium
2024-01-09,Tuesday,Shahbagh,Late Night (11:00 PM – 5:00 AM),409,Rainy,Arterial Road,High
2024-01-09,Tuesday,Mirpur-10,Early Morning (5:00 AM – 7:30 AM),311,Rainy,Arterial Road,Medium
2024-01-09,Tuesday,Mirpur-10,Morning Rush (7:30 AM – 10:30 AM),202,Cloudy,Entry Point,Low
2024-01-09,Tuesday,Mirpur-10,Midday (10:30 AM – 2:00 PM),199,Cloudy,Entry Point,Low
2024-01-09,Tuesday,Mirpur-10,Afternoon (2:00 PM – 4:30 PM),191,Cloudy,Commercial Street,High
2024-01-09,Tuesday,Mirpur-10,Evening Rush (4:30 PM – 8:00 PM),394,Sunny,Highway,Low
2024-01-09,Tuesday,Mirpur-10,Night (8:00 PM – 11:00 PM),181,Sunny,Residential Street,Low
2024-01-09,Tuesday,Mirpur-10,Late Night (11:00 PM – 5:00 AM),454,Cloudy,Flyover,Medium
2024-01-09,Tuesday,Gabtoli,Early Morning (5:00 AM – 7:30 AM),287,Sunny,Residential Street,High
2024-01-09,Tuesday,Gabtoli,Morning Rush (7:30 AM – 10:30 AM),163,Sunny,Commercial Street,Low
2024-01-09,Tuesday,Gabtoli,Midday (10:30 AM – 2:00 PM),166,Sunny,Arterial Road,High
2024-01-09,Tuesday,Gabtoli,Afternoon (2:00 PM – 4:30 PM),166,Rainy,Entry Point,Medium
2024-01-09,Tuesday,Gabtoli,Evening Rush (4:30 PM – 8:00 PM),252,Sunny,Residential Street,Medium
2024-01-09,Tuesday,Gabtoli,Night (8:00 PM – 11:00 PM),315,Rainy,Highway,Low
2024-01-09,Tuesday,Gabtoli,Late Night (11:00 PM – 5:00 AM),368,Rainy,Flyover,Medium
2024-01-09,Tuesday,Rampura,Early Morning (5:00 AM – 7:30 AM),498,Sunny,Entry Point,Medium
2024-01-09,Tuesday,Rampura,Morning Rush (7:30 AM – 10:30 AM),362,Rainy,Commercial Street,High
2024-01-09,Tuesday,Rampura,Midday (10:30 AM – 2:00 PM),405,Sunny,Residential Street,Medium
2024-01-09,Tuesday,Rampura,Afternoon (2:00 PM – 4:30 PM),386,Sunny,Residential Street,Low
2024-01-09,Tuesday,Rampura,Evening Rush (4:30 PM – 8:00 PM),424,Cloudy,Flyover,High
2024-01-09,Tuesday,Rampura,Night (8:00 PM – 11:00 PM),458,Cloudy,Highway,High
2024-01-09,Tuesday,Rampura,Late Night (11:00 PM – 5:00 AM),337,Rainy,Commercial Street,High
2024-01-09,Tuesday,Tejgaon,Early Morning (5:00 AM – 7:30 AM),180,Rainy,Arterial Road,Low
2024-01-09,Tuesday,Tejgaon,Morning Rush (7:30 AM – 10:30 AM),158,Sunny,Commercial Street,High
2024-01-09,Tuesday,Tejgaon,Midday (10:30 AM – 2:00 PM),360,Cloudy,Entry Point,Medium
2024-01-09,Tuesday,Tejgaon,Afternoon (2:00 PM – 4:30 PM),170,Cloudy,Entry Point,Low
2024-01-09,Tuesday,Tejgaon,Evening Rush (4:30 PM – 8:00 PM),130,Sunny,Flyover,Low
2024-01-09,Tuesday,Tejgaon,Night (8:00 PM – 11:00 PM),198,Cloudy,Residential Street,High
2024-01-09,Tuesday,Tejgaon,Late Night (11:00 PM – 5:00 AM),270,Cloudy,Highway,Low
2024-01-09,Tuesday,New Market,Early Morning (5:00 AM – 7:30 AM),144,Sunny,Residential Street,Low
2024-01-09,Tuesday,New Market,Morning Rush (7:30 AM – 10:30 AM),301,Cloudy,Entry Point,Low
2024-01-09,Tuesday,New Market,Midday (10:30 AM – 2:00 PM),290,Rainy,Flyover,Medium
2024-01-09,Tuesday,New Market,Afternoon (2:00 PM – 4:30 PM),135,Sunny,Arterial Road,Low
2024-01-09,Tuesday,New Market,Evening Rush (4:30 PM – 8:00 PM),482,Sunny,Entry Point,High
2024-01-09,Tuesday,New Market,Night (8:00 PM – 11:00 PM),274,Rainy,Entry Point,High
2024-01-09,Tuesday,New Market,Late Night (11:00 PM – 5:00 AM),190,Sunny,Arterial Road,High
2024-01-09,Tuesday,Dhanmondi,Early Morning (5:00 AM – 7:30 AM),384,Rainy,Residential Street,Low
2024-01-09,Tuesday,Dhanmondi,Morning Rush (7:30 AM – 10:30 AM),398,Sunny,Arterial Road,Medium
2024-01-09,Tuesday,Dhanmondi,Midday (10:30 AM – 2:00 PM),109,Sunny,Arterial Road,High
2024-01-09,Tuesday,Dhanmondi,Afternoon (2:00 PM – 4:30 PM),452,Rainy,Residential Street,Medium
2024-01-09,Tuesday,Dhanmondi,Evening Rush (4:30 PM – 8:00 PM),467,Sunny,Entry Point,Medium
2024-01-09,Tuesday,Dhanmondi,Night (8:00 PM – 11:00 PM),276,Sunny,Residential Street,High
2024-01-09,Tuesday,Dhanmondi,Late Night (11:00 PM – 5:00 AM),398,Cloudy,Entry Point,Medium
2024-01-09,Tuesday,Paltan,Early Morning (5:00 AM – 7:30 AM),414,Cloudy,Residential Street,Low
2024-01-09,Tuesday,Paltan,Morning Rush (7:30 AM – 10:30 AM),460,Sunny,Highway,Medium
2024-01-09,Tuesday,Paltan,Midday (10:30 AM – 2:00 PM),383,Rainy,Flyover,Medium
2024-01-09,Tuesday,Paltan,Afternoon (2:00 PM – 4:30 PM),293,Rainy,Highway,Low
2024-01-09,Tuesday,Paltan,Evening Rush (4:30 PM – 8:00 PM),237,Sunny,Commercial Street,Medium
2024-01-09,Tuesday,Paltan,Night (8:00 PM – 11:00 PM),257,Sunny,Flyover,Low
2024-01-09,Tuesday,Paltan,Late Night (11:00 PM – 5:00 AM),372,Rainy,Commercial Street,High
2024-01-09,Tuesday,Malibagh,Early Morning (5:00 AM – 7:30 AM),175,Sunny,Highway,Low
2024-01-09,Tuesday,Malibagh,Morning Rush (7:30 AM – 10:30 AM),157,Sunny,Entry Point,High
2024-01-09,Tuesday,Malibagh,Midday (10:30 AM – 2:00 PM),347,Cloudy,Arterial Road,Low
2024-01-09,Tuesday,Malibagh,Afternoon (2:00 PM – 4:30 PM),223,Rainy,Highway,Medium
2024-01-09,Tuesday,Malibagh,Evening Rush (4:30 PM – 8:00 PM),330,Cloudy,Flyover,High
2024-01-09,Tuesday,Malibagh,Night (8:00 PM – 11:00 PM),398,Cloudy,Commercial Street,Medium
2024-01-09,Tuesday,Malibagh,Late Night (11:00 PM – 5:00 AM),499,Rainy,Residential Street,Low
2024-01-09,Tuesday,Keraniganj,Early Morning (5:00 AM – 7:30 AM),315,Cloudy,Entry Point,Medium
2024-01-09,Tuesday,Keraniganj,Morning Rush (7:30 AM – 10:30 AM),448,Cloudy,Arterial Road,Medium
2024-01-09,Tuesday,Keraniganj,Midday (10:30 AM – 2:00 PM),359,Sunny,Highway,Low
2024-01-09,Tuesday,Keraniganj,Afternoon (2:00 PM – 4:30 PM),173,Cloudy,Residential Street,Medium
2024-01-09,Tuesday,Keraniganj,Evening Rush (4:30 PM – 8:00 PM),196,Sunny,Arterial Road,Medium
2024-01-09,Tuesday,Keraniganj,Night (8:00 PM – 11:00 PM),227,Cloudy,Arterial Road,Medium
