Session_ID,Account_ID,Customer_ID,Date,Device_Type,Feature_Used,Time_Spent,Transactions_Completed
SES0111511,ACC205404807,205404807,1/1/2022,Android,Bill Payment,0:05:21,1
SES0127330,ACC205404607,205404607,1/1/2022,Web,Balance Inquiry,0:03:37,0
SES0148792,ACC205404620,205404620,1/1/2022,Web,Bill Payment,0:13:13,2
SES0142627,ACC205404998,205404998,1/1/2022,Web,Balance Inquiry,0:09:47,0
SES0134277,ACC205403590,205403590,1/1/2022,Web,Balance Inquiry,0:08:51,0
SES0111119,ACC205401805,205401805,1/1/2022,Web,Balance Inquiry,0:13:03,0
SES0104924,ACC205404948,205404948,1/1/2022,Web,Balance Inquiry,0:08:14,0
SES0134267,ACC205402734,205402734,1/1/2022,Android,Bill Payment,0:04:33,1
SES0121066,ACC205404607,205404607,1/1/2022,Android,Balance Inquiry,0:03:20,0
SES0121897,ACC205404645,205404645,1/1/2022,Android,Balance Inquiry,0:06:50,0
SES0141145,ACC205404945,205404945,1/1/2022,Android,Bill Payment,0:03:27,1
SES0128597,ACC205404644,205404644,1/1/2022,Android,Balance Inquiry,0:05:27,0
SES0122122,ACC205404900,205404900,1/1/2022,Android,Balance Inquiry,0:07:17,0
SES0122110,ACC205404687,205404687,1/1/2022,Android,Bill Payment,0:01:15,2
SES0121164,ACC205404683,205404683,1/2/2022,Android,Fund Transfer,0:06:42,3
SES0102535,ACC205403235,205403235,1/2/2022,Android,Balance Inquiry,0:01:28,0
SES0133549,ACC205403670,205403670,1/2/2022,Android,Fund Transfer,0:09:21,5
SES0133217,ACC205403109,205403109,1/2/2022,Android,Balance Inquiry,0:14:04,0
SES0117011,ACC205400409,205400409,1/2/2022,Android,Balance Inquiry,0:07:09,0
SES0131505,ACC205404719,205404719,1/2/2022,Android,Balance Inquiry,0:04:03,0
SES0103728,ACC205404649,205404649,1/2/2022,Web,Bill Payment,0:03:43,2
SES0138052,ACC205404988,205404988,1/2/2022,Android,Balance Inquiry,0:13:12,0
SES0110410,ACC205404890,205404890,1/2/2022,Web,Balance Inquiry,0:14:16,0
SES0148492,ACC205403061,205403061,1/2/2022,Android,Balance Inquiry,0:09:57,0
SES0113314,ACC205404658,205404658,1/2/2022,Android,Balance Inquiry,0:11:38,0
SES0146684,ACC205404933,205404933,1/2/2022,Web,Bill Payment,0:13:08,1
SES0147385,ACC205402705,205402705,1/2/2022,Android,Bill Payment,0:01:30,1
SES0109663,ACC205404586,205404586,1/2/2022,Web,Balance Inquiry,0:05:32,0
SES0104957,ACC205403172,205403172,1/2/2022,Web,Balance Inquiry,0:03:45,0
SES0135660,ACC205404101,205404101,1/2/2022,Web,Bill Payment,0:12:48,1
SES0110543,ACC205404966,205404966,1/2/2022,Android,Balance Inquiry,0:01:51,0
SES0135664,ACC205404644,205404644,1/2/2022,iOS,Balance Inquiry,0:07:19,0
SES0147287,ACC205401806,205401806,1/2/2022,Android,Bill Payment,0:10:55,2
SES0109838,ACC205400035,205400035,1/2/2022,Android,Bill Payment,0:01:04,2
SES0134668,ACC205404300,205404300,1/2/2022,iOS,Balance Inquiry,0:03:25,0
SES0144079,ACC205402050,205402050,1/2/2022,Android,Balance Inquiry,0:13:59,0
SES0134609,ACC205404567,205404567,1/2/2022,iOS,Balance Inquiry,0:11:26,0
SES0146738,ACC205402540,205402540,1/2/2022,iOS,Fund Transfer,0:10:42,1
SES0110242,ACC205404993,205404993,1/2/2022,iOS,Fund Transfer,0:05:18,2
SES0133153,ACC205404890,205404890,1/2/2022,Android,Balance Inquiry,0:13:13,0
SES0112300,ACC205401942,205401942,1/2/2022,iOS,Fund Transfer,0:02:17,2
SES0136946,ACC205401363,205401363,1/2/2022,Android,Fund Transfer,0:03:14,1
SES0103769,ACC205403013,205403013,1/2/2022,Android,Fund Transfer,0:05:42,4
SES0128863,ACC205404778,205404778,1/2/2022,iOS,Fund Transfer,0:06:57,2
SES0149213,ACC205400814,205400814,1/2/2022,Web,Balance Inquiry,0:10:58,0
SES0129734,ACC205404704,205404704,1/2/2022,Android,Bill Payment,0:13:31,1
SES0129729,ACC205403648,205403648,1/2/2022,iOS,Balance Inquiry,0:00:33,0
SES0114535,ACC205403411,205403411,1/2/2022,iOS,Bill Payment,0:14:02,4
SES0115971,ACC205404706,205404706,1/2/2022,Android,Fund Transfer,0:09:18,4
SES0148776,ACC205404644,205404644,1/2/2022,Web,Balance Inquiry,0:03:15,0
SES0107220,ACC205400245,205400245,1/2/2022,iOS,Balance Inquiry,0:05:00,0
SES0139393,ACC205404728,205404728,1/2/2022,Android,Bill Payment,0:13:01,1
SES0105956,ACC205403897,205403897,1/2/2022,Android,Fund Transfer,0:03:13,2
SES0128030,ACC205402230,205402230,1/2/2022,Android,Balance Inquiry,0:05:09,0
SES0107850,ACC205401328,205401328,1/2/2022,iOS,Balance Inquiry,0:14:21,0
SES0103354,ACC205401932,205401932,1/2/2022,Web,Bill Payment,0:12:52,2
SES0125420,ACC205403240,205403240,1/2/2022,iOS,Balance Inquiry,0:05:43,0
SES0129407,ACC205403656,205403656,1/2/2022,Android,Balance Inquiry,0:06:54,0
SES0128224,ACC205404625,205404625,1/2/2022,Android,Bill Payment,0:11:01,1
SES0107906,ACC205402973,205402973,1/2/2022,Android,Balance Inquiry,0:02:33,0
SES0135261,ACC205404724,205404724,1/2/2022,Android,Fund Transfer,0:09:51,1
SES0125347,ACC205403975,205403975,1/2/2022,Android,Balance Inquiry,0:06:07,0
SES0120017,ACC205400031,205400031,1/2/2022,Android,Balance Inquiry,0:10:05,0
SES0113914,ACC205403780,205403780,1/2/2022,Android,Balance Inquiry,0:12:21,0
SES0104113,ACC205404691,205404691,1/2/2022,iOS,Balance Inquiry,0:10:22,0
SES0146081,ACC205403317,205403317,1/2/2022,Android,Balance Inquiry,0:02:10,0
SES0144459,ACC205404691,205404691,1/2/2022,Android,Balance Inquiry,0:04:29,0
SES0145287,ACC205401316,205401316,1/3/2022,Web,Balance Inquiry,0:01:43,0
SES0112198,ACC205401010,205401010,1/3/2022,Web,Balance Inquiry,0:07:15,0
SES0121319,ACC205404890,205404890,1/3/2022,Web,Bill Payment,0:07:38,1
SES0110040,ACC205401105,205401105,1/3/2022,Android,Bill Payment,0:05:52,1
SES0115039,ACC205400704,205400704,1/3/2022,Android,Balance Inquiry,0:01:55,0
SES0120480,ACC205404291,205404291,1/3/2022,Android,Balance Inquiry,0:09:13,0
SES0140395,ACC205403354,205403354,1/3/2022,Android,Balance Inquiry,0:06:50,0
SES0143825,ACC205403539,205403539,1/3/2022,Android,Balance Inquiry,0:11:20,0
SES0100182,ACC205401885,205401885,1/3/2022,Web,Bill Payment,0:07:39,1
SES0116937,ACC205404523,205404523,1/3/2022,Android,Balance Inquiry,0:10:55,0
SES0128405,ACC205404691,205404691,1/3/2022,Android,Balance Inquiry,0:14:50,0
SES0104804,ACC205404863,205404863,1/3/2022,Android,Bill Payment,0:11:21,1
SES0125498,ACC205403964,205403964,1/3/2022,iOS,Bill Payment,0:04:31,2
SES0136303,ACC205401036,205401036,1/3/2022,iOS,Balance Inquiry,0:08:43,0
SES0110248,ACC205404811,205404811,1/3/2022,Web,Balance Inquiry,0:04:53,0
SES0113825,ACC205404622,205404622,1/3/2022,Android,Balance Inquiry,0:07:24,0
SES0136706,ACC205401103,205401103,1/3/2022,Web,Bill Payment,0:12:27,3
SES0118872,ACC205404770,205404770,1/3/2022,iOS,Balance Inquiry,0:04:59,0
SES0138516,ACC205403726,205403726,1/3/2022,Android,Bill Payment,0:13:30,2
SES0102570,ACC205403854,205403854,1/3/2022,Android,Bill Payment,0:05:19,1
SES0122377,ACC205404129,205404129,1/3/2022,Web,Bill Payment,0:14:45,1
SES0127850,ACC205403711,205403711,1/3/2022,Web,Bill Payment,0:08:58,1
SES0124364,ACC205404643,205404643,1/3/2022,Android,Balance Inquiry,0:08:49,0
SES0105323,ACC205404542,205404542,1/3/2022,Android,Bill Payment,0:11:26,1
SES0137409,ACC205404766,205404766,1/3/2022,Android,Balance Inquiry,0:12:30,0
SES0122466,ACC205404770,205404770,1/3/2022,Android,Fund Transfer,0:12:55,1
SES0136650,ACC205403028,205403028,1/3/2022,Android,Balance Inquiry,0:09:22,0
SES0137220,ACC205404457,205404457,1/3/2022,Android,Bill Payment,0:14:24,1
SES0142007,ACC205401502,205401502,1/3/2022,Web,Balance Inquiry,0:12:11,0
SES0144159,ACC205403229,205403229,1/3/2022,Web,Balance Inquiry,0:08:07,0
SES0125584,ACC205404644,205404644,1/3/2022,Android,Balance Inquiry,0:07:39,0
SES0114443,ACC205403508,205403508,1/3/2022,Android,Balance Inquiry,0:10:21,0
SES0136911,ACC205402124,205402124,1/3/2022,Web,Balance Inquiry,0:08:03,0
SES0130127,ACC205403876,205403876,1/3/2022,Android,Fund Transfer,0:05:54,4
SES0128109,ACC205404734,205404734,1/3/2022,iOS,Bill Payment,0:06:50,1
SES0143397,ACC205401738,205401738,1/3/2022,Android,Fund Transfer,0:01:01,2
SES0139676,ACC205401125,205401125,1/3/2022,Android,Bill Payment,0:08:01,3
SES0130266,ACC205400609,205400609,1/3/2022,Android,Balance Inquiry,0:06:50,0
SES0120686,ACC205404184,205404184,1/3/2022,Android,Bill Payment,0:05:12,1
SES0104580,ACC205401832,205401832,1/3/2022,Android,Balance Inquiry,0:04:34,0
SES0112037,ACC205404531,205404531,1/3/2022,Web,Balance Inquiry,0:11:13,0
SES0147912,ACC205404341,205404341,1/3/2022,Android,Balance Inquiry,0:09:01,0
SES0110594,ACC205403545,205403545,1/3/2022,Android,Bill Payment,0:02:37,1
SES0135140,ACC205403890,205403890,1/3/2022,Web,Bill Payment,0:01:17,4
SES0111893,ACC205402924,205402924,1/3/2022,Android,Balance Inquiry,0:05:49,0
SES0121038,ACC205404645,205404645,1/3/2022,Android,Fund Transfer,0:05:58,1
SES0111758,ACC205404837,205404837,1/3/2022,Web,Balance Inquiry,0:08:57,0
SES0149892,ACC205404863,205404863,1/3/2022,iOS,Balance Inquiry,0:09:11,0
SES0110656,ACC205404531,205404531,1/3/2022,Android,Bill Payment,0:06:18,1
SES0105775,ACC205403095,205403095,1/4/2022,iOS,Balance Inquiry,0:05:13,0
SES0108161,ACC205403458,205403458,1/4/2022,Android,Balance Inquiry,0:02:56,0
SES0118276,ACC205402314,205402314,1/4/2022,Android,Fund Transfer,0:02:04,3
SES0112058,ACC205400470,205400470,1/4/2022,Android,Bill Payment,0:08:43,1
SES0115198,ACC205401105,205401105,1/4/2022,iOS,Balance Inquiry,0:07:51,0
SES0122424,ACC205404269,205404269,1/4/2022,iOS,Balance Inquiry,0:05:01,0
SES0114802,ACC205404724,205404724,1/4/2022,Web,Bill Payment,0:07:13,1
SES0119552,ACC205404782,205404782,1/4/2022,Web,Balance Inquiry,0:02:27,0
SES0105819,ACC205404863,205404863,1/4/2022,Android,Bill Payment,0:14:04,1
SES0108155,ACC205404969,205404969,1/4/2022,Android,Bill Payment,0:12:48,5
SES0108687,ACC205404682,205404682,1/4/2022,Web,Bill Payment,0:10:02,1
SES0112460,ACC205401729,205401729,1/4/2022,iOS,Bill Payment,0:03:06,2
SES0135360,ACC205404541,205404541,1/4/2022,Android,Bill Payment,0:11:53,1
SES0141463,ACC205404863,205404863,1/4/2022,Android,Bill Payment,0:01:56,1
SES0134368,ACC205404832,205404832,1/4/2022,iOS,Fund Transfer,0:12:42,1
SES0147137,ACC205402565,205402565,1/4/2022,iOS,Bill Payment,0:06:00,1
SES0107104,ACC205404592,205404592,1/4/2022,iOS,Fund Transfer,0:08:52,1
SES0104261,ACC205404837,205404837,1/4/2022,Android,Balance Inquiry,0:10:28,0
SES0135003,ACC205404348,205404348,1/4/2022,Android,Balance Inquiry,0:12:41,0
SES0108359,ACC205404542,205404542,1/4/2022,Web,Balance Inquiry,0:12:57,0
SES0107357,ACC205402876,205402876,1/4/2022,Android,Balance Inquiry,0:10:30,0
SES0149985,ACC205404943,205404943,1/4/2022,Android,Balance Inquiry,0:01:33,0
SES0124076,ACC205404738,205404738,1/4/2022,Android,Fund Transfer,0:06:17,2
SES0131056,ACC205403295,205403295,1/4/2022,Web,Fund Transfer,0:02:24,4
SES0140331,ACC205404863,205404863,1/4/2022,iOS,Balance Inquiry,0:04:04,0
SES0116465,ACC205404879,205404879,1/4/2022,Android,Balance Inquiry,0:01:01,0
SES0106994,ACC205404622,205404622,1/4/2022,iOS,Fund Transfer,0:06:43,1
SES0140447,ACC205403769,205403769,1/4/2022,Android,Bill Payment,0:04:43,2
SES0102868,ACC205402171,205402171,1/4/2022,Android,Fund Transfer,0:10:10,2
SES0105130,ACC205404671,205404671,1/4/2022,Android,Balance Inquiry,0:01:54,0
SES0119122,ACC205403808,205403808,1/4/2022,Android,Balance Inquiry,0:14:47,0
SES0116206,ACC205404993,205404993,1/4/2022,Android,Balance Inquiry,0:11:34,0
SES0113391,ACC205403507,205403507,1/4/2022,Android,Balance Inquiry,0:11:39,0
SES0103776,ACC205404638,205404638,1/4/2022,Android,Bill Payment,0:14:52,1
SES0130162,ACC205402618,205402618,1/4/2022,Android,Balance Inquiry,0:14:14,0
SES0148911,ACC205400069,205400069,1/4/2022,Android,Balance Inquiry,0:05:24,0
SES0126499,ACC205404595,205404595,1/4/2022,Web,Balance Inquiry,0:10:19,0
SES0111784,ACC205404492,205404492,1/4/2022,Android,Balance Inquiry,0:13:57,0
SES0124254,ACC205404158,205404158,1/4/2022,iOS,Fund Transfer,0:14:05,1
SES0125257,ACC205404691,205404691,1/4/2022,Web,Bill Payment,0:02:03,1
SES0122086,ACC205404842,205404842,1/4/2022,Android,Balance Inquiry,0:06:37,0
SES0113155,ACC205402595,205402595,1/4/2022,Android,Bill Payment,0:02:29,1
SES0131780,ACC205404627,205404627,1/4/2022,Android,Balance Inquiry,0:12:22,0
SES0145753,ACC205401638,205401638,1/4/2022,Android,Balance Inquiry,0:14:55,0
SES0139320,ACC205403318,205403318,1/4/2022,Android,Bill Payment,0:06:47,1
SES0120861,ACC205404532,205404532,1/4/2022,Android,Fund Transfer,0:13:56,2
SES0112202,ACC205404634,205404634,1/4/2022,Web,Bill Payment,0:10:20,1
SES0121110,ACC205400463,205400463,1/4/2022,Web,Balance Inquiry,0:13:05,0
SES0139325,ACC205401390,205401390,1/4/2022,iOS,Bill Payment,0:09:09,4
SES0130575,ACC205400400,205400400,1/4/2022,Web,Balance Inquiry,0:09:06,0
SES0125207,ACC205404116,205404116,1/4/2022,Android,Fund Transfer,0:09:00,1
SES0143561,ACC205404974,205404974,1/4/2022,Android,Balance Inquiry,0:08:03,0
SES0114578,ACC205400889,205400889,1/4/2022,Web,Balance Inquiry,0:07:57,0
SES0106308,ACC205401200,205401200,1/4/2022,Android,Balance Inquiry,0:03:38,0
SES0140843,ACC205404417,205404417,1/4/2022,Web,Fund Transfer,0:06:27,3
SES0102612,ACC205404644,205404644,1/4/2022,iOS,Bill Payment,0:09:39,1
SES0142018,ACC205401640,205401640,1/4/2022,iOS,Balance Inquiry,0:06:27,0
SES0140876,ACC205404770,205404770,1/4/2022,Android,Fund Transfer,0:04:33,2
SES0120494,ACC205401945,205401945,1/5/2022,Android,Bill Payment,0:12:34,1
SES0119592,ACC205400961,205400961,1/5/2022,Android,Balance Inquiry,0:03:29,0
SES0136792,ACC205404381,205404381,1/5/2022,Android,Balance Inquiry,0:04:05,0
SES0127192,ACC205400281,205400281,1/5/2022,Android,Fund Transfer,0:02:24,1
SES0115991,ACC205402393,205402393,1/5/2022,Android,Fund Transfer,0:02:38,2
SES0124763,ACC205401661,205401661,1/5/2022,Android,Fund Transfer,0:08:08,3
SES0146336,ACC205404093,205404093,1/5/2022,Web,Fund Transfer,0:06:18,1
SES0144953,ACC205400741,205400741,1/5/2022,Android,Balance Inquiry,0:03:40,0
SES0124839,ACC205404738,205404738,1/5/2022,Web,Bill Payment,0:06:40,2
SES0108839,ACC205400283,205400283,1/5/2022,Android,Bill Payment,0:03:22,1
SES0138133,ACC205403941,205403941,1/5/2022,iOS,Balance Inquiry,0:12:37,0
SES0123896,ACC205403700,205403700,1/5/2022,Android,Bill Payment,0:13:49,1
SES0106815,ACC205404914,205404914,1/5/2022,iOS,Balance Inquiry,0:06:59,0
SES0140810,ACC205404957,205404957,1/5/2022,Android,Bill Payment,0:02:36,1
SES0148135,ACC205400919,205400919,1/5/2022,Web,Balance Inquiry,0:02:36,0
SES0146822,ACC205401161,205401161,1/5/2022,Android,Bill Payment,0:11:06,4
SES0140572,ACC205403623,205403623,1/5/2022,Web,Balance Inquiry,0:09:02,0
SES0103683,ACC205404357,205404357,1/5/2022,Web,Bill Payment,0:09:33,2
SES0129221,ACC205404475,205404475,1/5/2022,Web,Fund Transfer,0:11:24,4
SES0145366,ACC205404652,205404652,1/5/2022,Android,Bill Payment,0:08:47,1
SES0127997,ACC205403997,205403997,1/5/2022,Android,Balance Inquiry,0:02:22,0
SES0148141,ACC205402140,205402140,1/5/2022,Web,Balance Inquiry,0:02:03,0
SES0110548,ACC205401532,205401532,1/5/2022,Android,Balance Inquiry,0:05:20,0
SES0121074,ACC205404215,205404215,1/5/2022,Android,Balance Inquiry,0:05:30,0
SES0121761,ACC205401751,205401751,1/5/2022,Android,Bill Payment,0:08:38,1
SES0102268,ACC205404863,205404863,1/5/2022,Web,Fund Transfer,0:01:36,2
SES0124873,ACC205404941,205404941,1/5/2022,Android,Bill Payment,0:14:31,2
SES0136834,ACC205404943,205404943,1/5/2022,Android,Bill Payment,0:14:28,1
SES0120639,ACC205402596,205402596,1/5/2022,Android,Balance Inquiry,0:09:04,0
SES0101271,ACC205401164,205401164,1/5/2022,Android,Balance Inquiry,0:07:06,0
SES0132607,ACC205404711,205404711,1/5/2022,Android,Fund Transfer,0:14:29,4
SES0138718,ACC205404731,205404731,1/5/2022,Android,Balance Inquiry,0:04:47,0
SES0132874,ACC205402798,205402798,1/5/2022,Android,Fund Transfer,0:07:51,3
SES0136346,ACC205404979,205404979,1/5/2022,Android,Balance Inquiry,0:10:11,0
SES0104896,ACC205400909,205400909,1/5/2022,Android,Balance Inquiry,0:01:07,0
SES0130173,ACC205404796,205404796,1/5/2022,Android,Bill Payment,0:03:06,2
SES0147559,ACC205404863,205404863,1/5/2022,Web,Bill Payment,0:07:05,1
SES0122074,ACC205400909,205400909,1/5/2022,Android,Bill Payment,0:14:27,4
SES0147316,ACC205404166,205404166,1/5/2022,Android,Bill Payment,0:01:01,1
SES0133694,ACC205402282,205402282,1/5/2022,Android,Balance Inquiry,0:04:59,0
SES0118507,ACC205404252,205404252,1/5/2022,Android,Bill Payment,0:07:10,1
SES0130182,ACC205403568,205403568,1/5/2022,Android,Balance Inquiry,0:01:05,0
SES0138912,ACC205403388,205403388,1/5/2022,Android,Balance Inquiry,0:14:31,0
SES0133141,ACC205400299,205400299,1/5/2022,Android,Balance Inquiry,0:04:43,0
SES0139579,ACC205404919,205404919,1/5/2022,Web,Balance Inquiry,0:06:31,0
SES0139209,ACC205401068,205401068,1/5/2022,Android,Fund Transfer,0:03:06,1
SES0139555,ACC205403114,205403114,1/5/2022,Android,Fund Transfer,0:07:41,3
SES0139434,ACC205404240,205404240,1/5/2022,Web,Balance Inquiry,0:02:51,0
SES0102079,ACC205400535,205400535,1/5/2022,Web,Balance Inquiry,0:01:02,0
SES0118766,ACC205403096,205403096,1/5/2022,iOS,Balance Inquiry,0:08:09,0
SES0147431,ACC205404948,205404948,1/5/2022,Web,Balance Inquiry,0:13:11,0
SES0114724,ACC205400377,205400377,1/5/2022,Web,Bill Payment,0:12:25,2
SES0111913,ACC205402457,205402457,1/5/2022,Android,Balance Inquiry,0:13:32,0
SES0144187,ACC205404186,205404186,1/5/2022,iOS,Balance Inquiry,0:00:37,0
SES0112630,ACC205404644,205404644,1/5/2022,Android,Fund Transfer,0:03:00,1
SES0127126,ACC205404686,205404686,1/5/2022,Android,Balance Inquiry,0:09:05,0
SES0119331,ACC205404459,205404459,1/5/2022,Android,Balance Inquiry,0:04:24,0
SES0136548,ACC205404793,205404793,1/5/2022,Android,Balance Inquiry,0:04:41,0
SES0120300,ACC205400319,205400319,1/5/2022,iOS,Bill Payment,0:10:17,1
SES0132171,ACC205400395,205400395,1/6/2022,Android,Balance Inquiry,0:03:23,0
SES0110967,ACC205402611,205402611,1/6/2022,Web,Balance Inquiry,0:13:13,0
SES0114880,ACC205403891,205403891,1/6/2022,Android,Balance Inquiry,0:12:30,0
SES0114598,ACC205400388,205400388,1/6/2022,Android,Bill Payment,0:02:18,1
SES0127945,ACC205404542,205404542,1/6/2022,Android,Fund Transfer,0:05:18,3
SES0124592,ACC205404542,205404542,1/6/2022,Android,Balance Inquiry,0:14:30,0
SES0134467,ACC205402007,205402007,1/6/2022,iOS,Balance Inquiry,0:08:06,0
SES0105854,ACC205404890,205404890,1/6/2022,Web,Bill Payment,0:12:09,2
SES0134759,ACC205403874,205403874,1/6/2022,Android,Balance Inquiry,0:11:13,0
SES0142011,ACC205404704,205404704,1/6/2022,Web,Balance Inquiry,0:01:21,0
SES0117013,ACC205404773,205404773,1/6/2022,Web,Bill Payment,0:01:09,1
SES0139681,ACC205404770,205404770,1/6/2022,iOS,Balance Inquiry,0:09:46,0
SES0113873,ACC205404644,205404644,1/6/2022,Android,Balance Inquiry,0:02:38,0
SES0104536,ACC205404542,205404542,1/6/2022,Android,Bill Payment,0:11:55,2
SES0114277,ACC205404787,205404787,1/6/2022,Android,Bill Payment,0:05:32,1
SES0119637,ACC205404691,205404691,1/6/2022,Web,Bill Payment,0:01:48,1
SES0146729,ACC205404988,205404988,1/6/2022,Android,Bill Payment,0:05:12,3
SES0130010,ACC205404770,205404770,1/6/2022,Android,Balance Inquiry,0:04:50,0
SES0122937,ACC205402734,205402734,1/6/2022,iOS,Balance Inquiry,0:02:10,0
SES0133425,ACC205400804,205400804,1/6/2022,Android,Balance Inquiry,0:05:35,0
SES0108051,ACC205403681,205403681,1/6/2022,Android,Bill Payment,0:01:24,2
SES0146728,ACC205404814,205404814,1/6/2022,Web,Fund Transfer,0:14:33,1
