Interaction_ID,Customer_ID,Date,Channel,Issue_Type,Outcome,Satisfaction_Score
INT0000040,205400276,2/9/2022,Self Service,Digital Banking Errors,pending,1
INT0000041,205402858,8/23/2024,Physical,Loan & Credit Problems,resolved,3
INT0000042,205403890,4/30/2023,Physical,Digital Banking Errors,escalated,2
INT0000043,205400747,7/6/2023,Physical,Customer Service,resolved,5
INT0000044,205400389,12/28/2022,Digital,Loan & Credit Problems,resolved,5
INT0000045,205401303,1/29/2023,Voice,Loan & Credit Problems,escalated,1
INT0000046,205401099,11/8/2023,Digital,Transaction Failures,resolved,4
INT0000047,205400257,2/26/2023,Digital,Transaction Failures,resolved,5
INT0000048,205403610,2/20/2022,Physical,Transaction Failures,resolved,5
INT0000049,205402416,12/24/2022,Physical,Loan & Credit Problems,pending,3
INT0000050,205401309,10/30/2023,Physical,Digital Banking Errors,resolved,4
INT0000051,205402283,10/9/2024,Voice,Loan & Credit Problems,pending,2
INT0000052,205400756,9/1/2023,Physical,Card Issues,pending,4
INT0000053,205400439,2/27/2023,Voice,Card Issues,resolved,3
INT0000054,205402312,11/21/2022,Self Service,Digital Banking Errors,resolved,3
INT0000055,205403580,5/18/2024,Voice,Digital Banking Errors,pending,3
INT0000056,205403354,9/13/2024,Voice,Transaction Failures,resolved,4
INT0000057,205404818,1/25/2022,Physical,Card Issues,escalated,1
INT0000058,205401361,10/20/2022,Physical,Others,pending,2
INT0000059,205402950,5/24/2024,Physical,Loan & Credit Problems,resolved,4
INT0000060,205404362,4/18/2022,Voice,Card Issues,resolved,5
INT0000061,205403262,3/23/2022,Self Service,Card Issues,pending,1
INT0000062,205403980,3/31/2023,Digital,Transaction Failures,resolved,5
INT0000063,205403114,12/4/2023,Self Service,Customer Service,resolved,5
INT0000064,205400754,7/16/2022,Physical,Card Issues,pending,3
INT0000065,205400766,12/13/2023,Digital,Others,pending,3
INT0000066,205403812,5/5/2022,Voice,Customer Service,resolved,4
INT0000067,205401974,11/25/2023,Physical,Card Issues,escalated,2
INT0000068,205401839,5/24/2024,Physical,Card Issues,resolved,4
INT0000069,205403057,7/8/2024,Voice,Card Issues,resolved,4
INT0000070,205401328,4/29/2022,Physical,Loan & Credit Problems,resolved,5
INT0000071,205403912,10/31/2023,Voice,Customer Service,resolved,3
INT0000072,205404326,11/3/2023,Digital,Others,pending,2
INT0000073,205403532,9/12/2024,Self Service,Card Issues,resolved,4
INT0000074,205400877,11/15/2023,Digital,Customer Service,pending,4
INT0000075,205404280,6/20/2023,Physical,Transaction Failures,resolved,3
INT0000076,205404936,4/1/2023,Self Service,Card Issues,resolved,5
INT0000077,205404610,11/13/2022,Voice,Card Issues,resolved,5
INT0000078,205400865,2/11/2022,Digital,Others,resolved,4
INT0000079,205403016,2/29/2024,Self Service,Card Issues,resolved,4
INT0000080,205403981,12/20/2023,Voice,Transaction Failures,resolved,4
INT0000081,205400341,5/19/2023,Voice,Transaction Failures,resolved,4
INT0000082,205400534,8/14/2023,Physical,Digital Banking Errors,resolved,3
INT0000083,205403952,11/19/2022,Physical,Transaction Failures,resolved,5
INT0000084,205404040,11/3/2023,Digital,Digital Banking Errors,resolved,4
INT0000085,205401260,12/9/2024,Physical,Transaction Failures,resolved,5
INT0000086,205400636,1/24/2023,Digital,Loan & Credit Problems,escalated,1
INT0000087,205403768,7/27/2022,Physical,Digital Banking Errors,pending,2
INT0000088,205404522,8/10/2024,Voice,Others,resolved,5
INT0000089,205400865,5/2/2024,Self Service,Digital Banking Errors,resolved,5
INT0000090,205402536,4/27/2024,Digital,Transaction Failures,resolved,3
INT0000091,205404992,6/25/2024,Voice,Card Issues,resolved,4
INT0000092,205403785,4/23/2022,Digital,Customer Service,resolved,5
INT0000093,205403263,2/20/2024,Digital,Customer Service,resolved,5
INT0000094,205404315,11/25/2023,Self Service,Digital Banking Errors,resolved,5
INT0000095,205400170,7/25/2022,Digital,Loan & Credit Problems,pending,3
INT0000096,205400957,12/13/2022,Voice,Customer Service,pending,1
INT0000097,205400343,10/15/2023,Digital,Others,resolved,3
INT0000098,205400628,5/20/2022,Voice,Customer Service,resolved,5
INT0000099,205404818,8/18/2022,Digital,Digital Banking Errors,escalated,1
INT0000100,205404245,9/3/2024,Digital,Transaction Failures,pending,3
INT0000101,205402498,6/12/2022,Digital,Digital Banking Errors,resolved,5
INT0000102,205401228,11/7/2022,Physical,Transaction Failures,resolved,5
INT0000103,205401107,11/6/2023,Voice,Transaction Failures,resolved,5
INT0000104,205400516,9/19/2024,Digital,Loan & Credit Problems,pending,3
INT0000105,205402470,3/10/2024,Physical,Card Issues,resolved,5
INT0000106,205402257,11/17/2022,Digital,Customer Service,resolved,4
INT0000107,205402668,6/24/2023,Digital,Card Issues,resolved,3
INT0000108,205402693,1/5/2022,Self Service,Card Issues,resolved,5
INT0000109,205401134,5/7/2024,Self Service,Loan & Credit Problems,escalated,1
INT0000110,205400946,8/6/2024,Physical,Card Issues,resolved,5
INT0000111,205401024,2/2/2023,Self Service,Transaction Failures,resolved,5
INT0000112,205401691,9/24/2022,Digital,Loan & Credit Problems,resolved,4
INT0000113,205403684,5/21/2024,Voice,Card Issues,resolved,3
INT0000114,205401458,11/11/2024,Voice,Customer Service,resolved,3
INT0000115,205400507,3/31/2022,Physical,Customer Service,resolved,5
INT0000116,205404740,3/2/2024,Voice,Digital Banking Errors,pending,1
INT0000117,205403580,12/24/2022,Voice,Transaction Failures,resolved,3
INT0000118,205404987,6/8/2024,Physical,Customer Service,resolved,3
INT0000119,205400341,6/11/2023,Voice,Transaction Failures,escalated,1
INT0000120,205404878,11/3/2023,Physical,Card Issues,resolved,4
INT0000121,205402496,4/13/2024,Physical,Digital Banking Errors,resolved,3
INT0000122,205402009,7/11/2024,Digital,Card Issues,resolved,5
INT0000123,205404113,3/10/2023,Self Service,Customer Service,escalated,1
INT0000124,205401762,10/27/2022,Self Service,Digital Banking Errors,pending,2
INT0000125,205402625,6/11/2023,Physical,Loan & Credit Problems,resolved,5
INT0000126,205404867,8/17/2023,Voice,Others,resolved,4
INT0000127,205400481,1/23/2023,Digital,Others,resolved,4
INT0000128,205402460,4/24/2023,Voice,Digital Banking Errors,resolved,3
INT0000129,205404616,8/25/2023,Physical,Loan & Credit Problems,resolved,4
INT0000130,205401762,10/7/2022,Self Service,Card Issues,pending,3
INT0000131,205402005,3/24/2023,Physical,Digital Banking Errors,resolved,4
INT0000132,205401086,12/8/2024,Voice,Card Issues,pending,2
INT0000133,205402485,11/1/2022,Digital,Loan & Credit Problems,pending,2
INT0000134,205400006,8/20/2022,Self Service,Loan & Credit Problems,pending,2
INT0000135,205403250,5/30/2022,Digital,Card Issues,resolved,5
INT0000136,205400066,7/23/2022,Physical,Transaction Failures,resolved,5
INT0000137,205404329,8/10/2022,Voice,Loan & Credit Problems,resolved,5
INT0000138,205404994,7/14/2023,Self Service,Customer Service,resolved,5
INT0000139,205403791,4/9/2024,Physical,Transaction Failures,resolved,5
INT0000140,205401655,7/7/2024,Physical,Transaction Failures,resolved,5
INT0000141,205404961,10/8/2022,Digital,Card Issues,resolved,4
INT0000142,205404945,7/9/2022,Digital,Transaction Failures,resolved,3
INT0000143,205402416,3/29/2023,Digital,Transaction Failures,resolved,5
INT0000144,205401134,1/29/2022,Voice,Card Issues,resolved,5
INT0000145,205403658,4/25/2024,Self Service,Customer Service,resolved,4
INT0000146,205401419,2/23/2024,Self Service,Loan & Credit Problems,pending,1
INT0000147,205403418,4/9/2023,Digital,Transaction Failures,resolved,5
INT0000148,205400504,7/28/2024,Physical,Loan & Credit Problems,pending,2
INT0000149,205403898,6/10/2022,Physical,Transaction Failures,resolved,3
INT0000150,205401524,6/3/2024,Physical,Loan & Credit Problems,resolved,5
INT0000151,205403084,6/11/2023,Voice,Transaction Failures,resolved,5
INT0000152,205401653,11/2/2024,Digital,Digital Banking Errors,resolved,4
INT0000153,205401101,10/3/2023,Physical,Transaction Failures,resolved,5
INT0000154,205403888,6/16/2023,Self Service,Customer Service,pending,3
INT0000155,205402753,10/1/2022,Voice,Loan & Credit Problems,resolved,5
INT0000156,205404974,7/27/2024,Self Service,Loan & Credit Problems,escalated,1
INT0000157,205402825,8/28/2023,Digital,Others,resolved,5
INT0000158,205401001,2/13/2022,Digital,Transaction Failures,resolved,4
INT0000159,205403273,8/31/2022,Digital,Digital Banking Errors,resolved,5
INT0000160,205402292,2/1/2024,Self Service,Customer Service,pending,2
INT0000161,205402838,6/20/2024,Voice,Digital Banking Errors,escalated,3
INT0000162,205403532,12/28/2022,Self Service,Loan & Credit Problems,resolved,4
INT0000163,205400069,3/8/2022,Self Service,Others,resolved,5
INT0000164,205401601,11/17/2023,Self Service,Others,resolved,4
INT0000165,205403723,9/25/2024,Self Service,Transaction Failures,resolved,5
INT0000166,205402552,1/12/2024,Voice,Transaction Failures,resolved,3
INT0000167,205400959,5/9/2022,Voice,Card Issues,resolved,5
INT0000168,205401690,1/18/2024,Self Service,Digital Banking Errors,resolved,5
INT0000169,205404614,12/28/2022,Digital,Card Issues,resolved,5
INT0000170,205402532,9/30/2023,Self Service,Customer Service,resolved,4
INT0000171,205400573,7/26/2024,Digital,Loan & Credit Problems,resolved,4
INT0000172,205404986,3/18/2023,Physical,Others,resolved,4
INT0000173,205400687,4/26/2022,Physical,Card Issues,resolved,4
INT0000174,205401427,11/9/2023,Voice,Loan & Credit Problems,pending,2
INT0000175,205403478,7/29/2023,Self Service,Others,pending,1
INT0000176,205403527,6/18/2022,Self Service,Transaction Failures,resolved,4
INT0000177,205404501,5/11/2024,Voice,Customer Service,resolved,4
INT0000178,205403868,9/12/2024,Physical,Transaction Failures,resolved,5
INT0000179,205403603,10/8/2022,Digital,Others,resolved,3
INT0000180,205402898,3/15/2022,Voice,Digital Banking Errors,resolved,5
INT0000181,205401053,10/5/2023,Voice,Customer Service,resolved,3
INT0000182,205402387,6/11/2022,Voice,Card Issues,pending,3
INT0000183,205400814,6/21/2022,Digital,Card Issues,resolved,4
INT0000184,205404440,10/13/2023,Physical,Transaction Failures,resolved,4
INT0000185,205401026,7/23/2022,Digital,Digital Banking Errors,pending,2
INT0000186,205400081,5/18/2023,Voice,Loan & Credit Problems,resolved,4
INT0000187,205401003,10/29/2023,Self Service,Loan & Credit Problems,resolved,5
INT0000188,205402901,3/28/2024,Digital,Loan & Credit Problems,resolved,5
INT0000189,205403607,5/8/2023,Voice,Transaction Failures,resolved,5
INT0000190,205402369,10/21/2023,Physical,Card Issues,escalated,1
INT0000191,205400033,8/8/2024,Physical,Card Issues,pending,1
INT0000192,205403693,9/27/2024,Voice,Card Issues,resolved,3
INT0000193,205403442,12/11/2023,Digital,Customer Service,resolved,5
INT0000194,205401644,12/25/2022,Physical,Loan & Credit Problems,pending,4
INT0000195,205401985,6/6/2024,Self Service,Transaction Failures,resolved,4
INT0000196,205403796,11/1/2024,Voice,Digital Banking Errors,pending,2
INT0000197,205400479,1/18/2023,Physical,Transaction Failures,resolved,3
INT0000198,205403504,5/23/2024,Digital,Digital Banking Errors,resolved,4
INT0000199,205400158,11/21/2024,Physical,Others,resolved,5
INT0000200,205400388,5/11/2024,Voice,Card Issues,resolved,4
INT0000201,205401714,10/6/2022,Voice,Card Issues,resolved,3
INT0000202,205402128,5/12/2022,Self Service,Others,resolved,4
INT0000203,205402130,2/5/2023,Voice,Customer Service,resolved,4
INT0000204,205402608,3/5/2024,Digital,Transaction Failures,resolved,5
INT0000205,205401273,1/16/2022,Voice,Transaction Failures,resolved,5
INT0000206,205404518,9/7/2022,Self Service,Others,resolved,4
INT0000207,205401189,9/3/2024,Digital,Customer Service,resolved,4
INT0000208,205401806,8/5/2022,Voice,Customer Service,resolved,5
INT0000209,205400023,7/19/2022,Digital,Digital Banking Errors,pending,2
INT0000210,205400066,7/30/2022,Digital,Customer Service,resolved,5
INT0000211,205402617,9/14/2022,Self Service,Digital Banking Errors,resolved,4
INT0000212,205400709,11/15/2023,Self Service,Others,resolved,5
INT0000213,205404181,8/8/2022,Voice,Digital Banking Errors,resolved,4
INT0000214,205403994,9/28/2024,Self Service,Transaction Failures,resolved,4
INT0000215,205403776,8/17/2023,Self Service,Transaction Failures,resolved,5
INT0000216,205404006,5/23/2024,Self Service,Card Issues,resolved,5
INT0000217,205404030,5/16/2024,Physical,Transaction Failures,resolved,4
INT0000218,205401045,10/19/2023,Voice,Digital Banking Errors,resolved,5
INT0000219,205403141,3/16/2023,Digital,Digital Banking Errors,resolved,5
INT0000220,205402702,5/31/2023,Self Service,Digital Banking Errors,resolved,5
INT0000221,205401600,8/12/2023,Digital,Loan & Credit Problems,pending,3
INT0000222,205401653,8/4/2023,Voice,Transaction Failures,pending,3
INT0000223,205404856,5/1/2024,Voice,Card Issues,resolved,4
INT0000224,205402423,5/26/2024,Physical,Card Issues,pending,2
INT0000225,205400942,11/21/2024,Voice,Loan & Credit Problems,resolved,4
INT0000226,205401450,8/5/2022,Self Service,Card Issues,escalated,2
INT0000227,205404011,8/22/2024,Physical,Transaction Failures,pending,3
INT0000228,205401786,5/14/2022,Physical,Transaction Failures,resolved,4
INT0000229,205403107,2/4/2024,Digital,Customer Service,pending,2
INT0000230,205403426,5/28/2024,Self Service,Customer Service,resolved,5
INT0000231,205403927,10/4/2024,Digital,Loan & Credit Problems,resolved,5
INT0000232,205401953,11/28/2024,Self Service,Card Issues,pending,3
INT0000233,205403473,1/25/2024,Voice,Loan & Credit Problems,resolved,4
INT0000234,205403650,5/13/2024,Voice,Card Issues,resolved,5
INT0000235,205400350,5/12/2024,Voice,Others,resolved,5
INT0000236,205404972,4/23/2023,Self Service,Digital Banking Errors,resolved,4
INT0000237,205403721,6/9/2023,Physical,Transaction Failures,resolved,4
INT0000238,205404577,5/31/2023,Self Service,Customer Service,resolved,5
INT0000239,205400918,11/30/2024,Self Service,Others,resolved,5
INT0000240,205402256,3/14/2022,Self Service,Card Issues,pending,2
INT0000241,205403911,8/21/2022,Voice,Loan & Credit Problems,resolved,3
INT0000242,205400435,3/9/2023,Digital,Others,resolved,5
INT0000243,205402306,6/11/2024,Physical,Transaction Failures,pending,2
INT0000244,205402186,8/30/2024,Voice,Others,escalated,2
INT0000245,205404309,11/14/2024,Physical,Card Issues,pending,2
INT0000246,205404028,12/30/2023,Voice,Others,resolved,5
INT0000247,205402395,6/27/2022,Voice,Customer Service,pending,2
INT0000248,205400444,2/9/2024,Self Service,Loan & Credit Problems,resolved,4
INT0000249,205402903,7/17/2022,Digital,Customer Service,pending,4
INT0000250,205401673,9/30/2022,Voice,Others,resolved,5
INT0000251,205404262,5/21/2024,Physical,Loan & Credit Problems,resolved,5
INT0000252,205403157,11/9/2023,Digital,Others,resolved,5
INT0000253,205402596,10/14/2022,Physical,Transaction Failures,resolved,4
INT0000254,205400323,6/26/2024,Voice,Card Issues,pending,4
INT0000255,205401827,3/19/2023,Physical,Loan & Credit Problems,pending,3
INT0000256,205403061,9/2/2024,Voice,Transaction Failures,resolved,3
INT0000257,205404668,5/5/2024,Digital,Transaction Failures,resolved,4
INT0000258,205404647,12/4/2022,Voice,Transaction Failures,resolved,5
INT0000259,205404273,5/18/2024,Voice,Digital Banking Errors,resolved,4
INT0000260,205404652,7/7/2024,Voice,Digital Banking Errors,resolved,5
INT0000261,205401607,11/18/2023,Physical,Others,resolved,4
INT0000262,205402300,4/10/2023,Digital,Card Issues,pending,4
INT0000263,205404196,1/27/2023,Physical,Customer Service,pending,2
INT0000264,205404801,1/13/2024,Self Service,Transaction Failures,resolved,3
INT0000265,205400414,3/7/2022,Physical,Customer Service,escalated,1
INT0000266,205400242,12/26/2022,Physical,Transaction Failures,escalated,1
INT0000267,205401761,4/8/2024,Physical,Loan & Credit Problems,pending,1
INT0000268,205402034,3/22/2023,Digital,Loan & Credit Problems,resolved,4
INT0000269,205402551,5/9/2022,Physical,Others,resolved,4
INT0000270,205404689,9/14/2024,Voice,Loan & Credit Problems,pending,1
INT0000271,205403843,8/26/2023,Self Service,Others,resolved,5
INT0000272,205400849,10/10/2024,Self Service,Digital Banking Errors,pending,2
INT0000273,205401093,6/15/2022,Physical,Transaction Failures,escalated,2
INT0000274,205400163,10/1/2024,Voice,Loan & Credit Problems,resolved,5
INT0000275,205400495,7/17/2023,Voice,Transaction Failures,resolved,5
INT0000276,205402614,7/8/2022,Voice,Digital Banking Errors,resolved,5
INT0000277,205402875,9/18/2024,Digital,Digital Banking Errors,resolved,4
INT0000278,205403552,11/5/2024,Voice,Loan & Credit Problems,pending,4
INT0000279,205401755,6/23/2024,Physical,Others,pending,2
INT0000280,205403794,9/9/2022,Self Service,Transaction Failures,resolved,4
INT0000281,205401598,6/26/2022,Voice,Digital Banking Errors,pending,2
INT0000282,205404010,1/24/2022,Digital,Loan & Credit Problems,resolved,5
INT0000283,205403473,11/26/2022,Physical,Card Issues,resolved,5
INT0000284,205402378,2/6/2023,Digital,Others,escalated,1
INT0000285,205404466,10/14/2024,Digital,Digital Banking Errors,escalated,3
INT0000286,205403471,11/29/2023,Physical,Others,resolved,4
INT0000287,205404428,4/29/2024,Physical,Customer Service,resolved,5
INT0000288,205402227,2/1/2023,Self Service,Transaction Failures,resolved,4
INT0000289,205401367,2/14/2024,Voice,Customer Service,resolved,4
INT0000290,205401696,8/21/2024,Physical,Card Issues,escalated,2
INT0000291,205404024,12/24/2024,Physical,Card Issues,resolved,4
INT0000292,205403167,10/27/2023,Self Service,Transaction Failures,resolved,5
INT0000293,205403429,8/13/2023,Self Service,Transaction Failures,escalated,1
INT0000294,205401057,11/4/2022,Self Service,Card Issues,escalated,1
INT0000295,205402120,6/5/2022,Self Service,Loan & Credit Problems,resolved,5
INT0000296,205401955,2/4/2024,Digital,Customer Service,resolved,3
INT0000297,205403030,6/27/2024,Self Service,Transaction Failures,resolved,4
INT0000298,205403473,5/14/2024,Self Service,Loan & Credit Problems,pending,3
INT0000299,205403592,5/27/2024,Digital,Loan & Credit Problems,escalated,1
INT0000300,205404115,5/2/2022,Voice,Transaction Failures,resolved,5
INT0000301,205402590,12/12/2024,Voice,Card Issues,resolved,5
INT0000302,205404814,5/6/2023,Voice,Customer Service,resolved,5
INT0000303,205401834,2/20/2023,Self Service,Customer Service,resolved,5
INT0000304,205403655,5/29/2024,Self Service,Customer Service,pending,3
INT0000305,205404759,12/20/2024,Self Service,Card Issues,resolved,3
INT0000306,205401724,6/7/2024,Digital,Digital Banking Errors,resolved,4
INT0000307,205402044,11/13/2023,Digital,Digital Banking Errors,pending,2
INT0000308,205401931,9/9/2024,Voice,Loan & Credit Problems,pending,3
INT0000309,205400934,12/6/2024,Digital,Digital Banking Errors,escalated,1
INT0000310,205404890,4/7/2024,Digital,Others,resolved,5
INT0000311,205402371,12/28/2022,Physical,Transaction Failures,resolved,5
INT0000312,205401264,4/16/2024,Voice,Loan & Credit Problems,resolved,3
INT0000313,205403683,4/7/2024,Voice,Digital Banking Errors,pending,2
INT0000314,205404410,4/26/2024,Voice,Others,pending,1
INT0000315,205403950,6/4/2022,Digital,Customer Service,resolved,4
INT0000316,205403587,6/27/2023,Voice,Customer Service,escalated,2
INT0000317,205404658,4/12/2023,Self Service,Transaction Failures,resolved,4
INT0000318,205402299,3/29/2022,Voice,Loan & Credit Problems,escalated,1
INT0000319,205400962,4/24/2022,Self Service,Loan & Credit Problems,resolved,3
INT0000320,205403869,10/17/2024,Self Service,Digital Banking Errors,resolved,4
INT0000321,205402243,8/16/2022,Voice,Digital Banking Errors,resolved,5
INT0000322,205402467,2/13/2022,Voice,Loan & Credit Problems,escalated,3
INT0000323,205401495,6/26/2023,Voice,Digital Banking Errors,pending,2
INT0000324,205402853,9/1/2024,Self Service,Digital Banking Errors,resolved,4
INT0000325,205400283,1/24/2022,Voice,Loan & Credit Problems,resolved,4
INT0000326,205402450,4/10/2023,Physical,Customer Service,pending,1
INT0000327,205400222,11/12/2024,Voice,Digital Banking Errors,pending,4
INT0000328,205404657,11/26/2022,Physical,Others,pending,4
INT0000329,205400135,11/1/2023,Digital,Card Issues,resolved,5
INT0000330,205403828,4/3/2023,Physical,Others,resolved,5
INT0000331,205401849,8/11/2023,Physical,Loan & Credit Problems,escalated,2
INT0000332,205404632,3/13/2024,Digital,Others,resolved,5
INT0000333,205404702,6/29/2024,Voice,Loan & Credit Problems,resolved,5
INT0000334,205403517,9/22/2023,Voice,Others,resolved,4
INT0000335,205402653,5/11/2023,Self Service,Transaction Failures,resolved,5
INT0000336,205401113,7/31/2024,Physical,Others,resolved,4
INT0000337,205403437,8/21/2024,Voice,Others,resolved,3
INT0000338,205400318,10/16/2023,Digital,Card Issues,resolved,3
INT0000339,205403092,1/21/2022,Digital,Digital Banking Errors,resolved,3
INT0000340,205401270,3/18/2022,Voice,Card Issues,pending,3
INT0000341,205403298,6/15/2022,Physical,Card Issues,resolved,3
INT0000342,205404657,3/25/2023,Self Service,Loan & Credit Problems,pending,3
INT0000343,205402916,6/12/2024,Physical,Loan & Credit Problems,resolved,5
INT0000344,205402488,9/26/2023,Physical,Transaction Failures,resolved,4
INT0000345,205404685,2/5/2024,Digital,Digital Banking Errors,resolved,4
INT0000346,205401709,4/17/2022,Self Service,Customer Service,resolved,5
INT0000347,205402680,3/27/2022,Voice,Transaction Failures,resolved,4
INT0000348,205403567,1/27/2024,Digital,Transaction Failures,pending,1
INT0000349,205401710,4/22/2024,Digital,Others,pending,1
INT0000350,205404251,9/19/2024,Physical,Transaction Failures,pending,2
INT0000351,205400927,5/11/2022,Voice,Loan & Credit Problems,escalated,2
INT0000352,205404735,4/15/2023,Self Service,Transaction Failures,resolved,5
INT0000353,205403612,11/29/2024,Voice,Loan & Credit Problems,resolved,3
INT0000354,205401922,1/16/2022,Self Service,Customer Service,resolved,5
INT0000355,205400613,10/26/2024,Physical,Transaction Failures,resolved,3
INT0000356,205404585,1/24/2023,Digital,Customer Service,resolved,4
INT0000357,205400438,6/22/2023,Physical,Others,escalated,2
INT0000358,205402671,6/24/2023,Digital,Customer Service,escalated,1
INT0000359,205400127,5/11/2023,Voice,Card Issues,escalated,1
INT0000360,205401530,10/20/2024,Digital,Others,escalated,1
INT0000361,205403747,9/19/2023,Voice,Transaction Failures,resolved,5
INT0000362,205401844,2/26/2022,Digital,Card Issues,resolved,5
INT0000363,205402530,7/12/2023,Voice,Transaction Failures,resolved,3
INT0000364,205401135,3/29/2023,Physical,Transaction Failures,resolved,4
INT0000365,205403082,6/5/2024,Digital,Card Issues,resolved,5
INT0000366,205400171,11/13/2024,Physical,Others,resolved,5
INT0000367,205402702,9/19/2024,Self Service,Digital Banking Errors,resolved,3
INT0000368,205404782,7/17/2022,Physical,Digital Banking Errors,resolved,5
INT0000369,205404645,3/27/2022,Self Service,Card Issues,pending,3
INT0000370,205404641,3/4/2024,Digital,Customer Service,resolved,5
INT0000371,205403462,7/12/2023,Voice,Transaction Failures,escalated,2
INT0000372,205402528,1/19/2023,Physical,Others,resolved,5
INT0000373,205400826,6/2/2022,Digital,Loan & Credit Problems,resolved,5
INT0000374,205401095,4/26/2023,Voice,Digital Banking Errors,resolved,4
INT0000375,205404524,8/12/2022,Self Service,Loan & Credit Problems,resolved,3
INT0000376,205404402,5/14/2023,Digital,Card Issues,resolved,5
INT0000377,205404021,12/29/2024,Digital,Loan & Credit Problems,resolved,5
INT0000378,205401607,1/6/2023,Voice,Card Issues,resolved,4
INT0000379,205403415,10/18/2023,Voice,Customer Service,resolved,4
INT0000380,205400280,11/15/2023,Digital,Transaction Failures,resolved,5
INT0000381,205404557,12/18/2023,Self Service,Customer Service,resolved,5
INT0000382,205403052,4/19/2022,Digital,Card Issues,resolved,4
INT0000383,205402729,7/18/2024,Digital,Customer Service,resolved,3
INT0000384,205403720,7/15/2023,Digital,Card Issues,pending,4
INT0000385,205400938,12/13/2023,Digital,Card Issues,resolved,5
INT0000386,205404888,11/30/2023,Physical,Transaction Failures,resolved,5
INT0000387,205403332,1/15/2024,Voice,Loan & Credit Problems,escalated,1
INT0000388,205404394,1/12/2024,Physical,Card Issues,resolved,5
INT0000389,205403269,3/27/2023,Voice,Digital Banking Errors,resolved,5
INT0000390,205402886,4/4/2022,Self Service,Others,resolved,5
INT0000391,205401088,4/23/2023,Digital,Digital Banking Errors,resolved,5
INT0000392,205402207,11/11/2024,Physical,Customer Service,resolved,4
INT0000393,205403212,7/18/2022,Physical,Digital Banking Errors,pending,2
INT0000394,205401915,4/7/2024,Self Service,Others,resolved,3
INT0000395,205403065,2/28/2023,Self Service,Transaction Failures,resolved,5
INT0000396,205401636,6/8/2022,Self Service,Card Issues,resolved,4
INT0000397,205403640,1/10/2022,Self Service,Digital Banking Errors,resolved,5
INT0000398,205402434,9/21/2023,Voice,Customer Service,pending,2
INT0000399,205401440,4/10/2023,Digital,Digital Banking Errors,pending,3
INT0000400,205403337,11/25/2022,Self Service,Card Issues,resolved,5
INT0000401,205404282,7/14/2023,Self Service,Transaction Failures,resolved,4
INT0000402,205402574,10/11/2024,Physical,Transaction Failures,resolved,5
